contention_mode,prediction_accuracy,p95_reduction_pct,mean_tool_cost_multiplier,wasted_call_rate,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,extra_metrics
cancellable,0.4,4.781716968173454,1.1796760000000002,0.59892,1434.9031066211464,1296.566565070861,1.106694515559041,2040.8013284947112,1927.9045184175068,1.0585593368336903,2261.2985737455824,2153.1696761437256,1.0502184750230708,2740.545744419124,2646.3602960847684,1.0355905612979839,1491.010690019375,1356.1904240942627,1.099411014507902,1.0,1.0,0.0,1.1796760000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.4}
cancellable,0.45,6.06506218201294,1.165,0.55,1435.825723694778,1277.1678936905296,1.124226290676465,2053.1804286754436,1914.9865241961754,1.0721644266072712,2281.8807401697673,2143.4832543590937,1.0645666279543922,2789.5198045057737,2656.2851129120936,1.0501582796763915,1495.5165846887553,1340.6970285494629,1.115476914502299,1.0,1.0,0.0,1.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.45}
cancellable,0.5,7.063404549122705,1.14877,0.4959,1435.6623078134885,1254.1971348166635,1.1446863239911254,2050.5551067924275,1889.1655423754469,1.0854290218601217,2281.1775452970705,2120.0487467889916,1.076002402658016,2762.5684524418284,2601.5105330510028,1.0619093858528184,1494.953066108014,1318.6386326896527,1.133709440211629,1.0,1.0,0.0,1.14877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.5}
cancellable,0.55,7.808965113278307,1.13434,0.4478,1432.0562684001459,1234.1752317686414,1.1603346360694096,2047.5928006986703,1868.4627284392238,1.095870294618656,2277.8089649273547,2099.935657509052,1.0847041702360045,2766.652817296774,2582.401502114626,1.0713488259014998,1493.0748881996692,1298.4738833090128,1.1498690173072545,1.0,1.0,0.0,1.13434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.55}
cancellable,0.6000000000000001,9.43470656353779,1.1202640000000001,0.40088,1437.5888401313905,1217.6091653617423,1.1806652586294337,2045.4648083539696,1839.5258012313002,1.1119522253967966,2271.0111522018556,2056.747913966392,1.1041757411204867,2743.7928888426363,2538.2363474660738,1.0809840035510365,1494.0871204688258,1281.1747393359772,1.1661852787100684,1.0,1.0,0.0,1.1202640000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.6000000000000001}
cancellable,0.65,10.243130652804682,1.104862,0.34954,1434.2088318671383,1190.394802815055,1.2048177869018832,2046.2213611851075,1812.15092909499,1.129167183777024,2270.13603247508,2037.603032672261,1.1141208547858599,2763.7292768198354,2540.67873617714,1.0877917138702515,1492.2294989360666,1260.0631632298375,1.1842497602351396,1.0,1.0,0.0,1.104862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.65}
cancellable,0.7000000000000001,11.993317030747809,1.090294,0.30098,1434.8804285602314,1171.1817142988953,1.2251561060438807,2043.4356968818527,1778.2751731738329,1.1491110755568645,2270.8689991551346,1998.5164807334895,1.1362773442437097,2771.5933817765963,2505.7712917896038,1.1060839394473005,1492.5355244814846,1239.878853266146,1.2037752886499988,1.0,1.0,0.0,1.090294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.7000000000000001}
cancellable,0.75,12.887006174384055,1.074886,0.24962,1434.3938432992222,1153.5616910627987,1.24344788355245,2047.4788870175307,1749.102484340041,1.170588290479772,2265.9962192017865,1973.977146521943,1.1479343736042575,2770.058719731316,2478.34791321302,1.1177037352032273,1493.8232036874854,1221.557259176787,1.2228843080955367,1.0,1.0,0.0,1.074886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.75}
cancellable,0.8,14.56936153672172,1.0604380000000002,0.20146,1433.5312365357595,1133.8779579692973,1.264272955004013,2051.313700731672,1722.3170544821503,1.1910197924321437,2273.1171301633744,1941.9384773167192,1.1705402394128688,2781.6882644199018,2450.8198959920824,1.135003134652571,1493.7935064903268,1203.0889516817979,1.2416318048654282,1.0,1.0,0.0,1.0604380000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.8}
cancellable,0.8500000000000001,16.309719063772967,1.044958,0.14986,1434.4956422849564,1115.9993217640213,1.2853911416518597,2053.150515120808,1689.1631319058301,1.2154838548981959,2281.5149877354634,1909.406302837935,1.1948818773377181,2776.927064656835,2383.700234543008,1.1649648829225436,1497.0149429819407,1183.6346796212815,1.2647609678527914,1.0,1.0,0.0,1.044958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.8500000000000001}
